id,horas_sueno,sexo
1,5.5,Hombre
2,8.0,Hombre
3,7.0,Hombre
4,7.5,Hombre
5,7.0,Hombre
6,9.0,Hombre
7,9.0,Hombre
8,7.0,Hombre
9,8.0,Hombre
10,7.0,Hombre
11,3.0,Hombre
12,7.0,Hombre
13,6.0,Hombre
14,4.0,Hombre
15,7.0,Hombre
16,6.5,Hombre
17,6.5,Hombre
18,2.0,Hombre
19,6.0,Hombre
20,8.0,Hombre
21,6.0,Hombre
22,9.0,Hombre
23,8.0,Hombre
24,8.0,Hombre
25,9.5,Hombre
26,8.0,Hombre
27,11.0,Hombre
28,9.0,Hombre
29,8.0,Hombre
30,7.0,Hombre
31,13.0,Hombre
32,6.0,Hombre
33,7.0,Hombre
34,6.0,Hombre
35,5.0,Hombre
36,8.0,Hombre
37,7.0,Hombre
38,8.0,Hombre
39,8.0,Hombre
40,7.0,Hombre
41,10.5,Hombre
42,8.5,Hombre
43,7.0,Hombre
44,5.0,Hombre
45,7.0,Hombre
46,6.0,Hombre
47,6.0,Hombre
48,11.0,Hombre
49,9.5,Hombre
50,8.5,Hombre
51,8.0,Hombre
52,7.0,Hombre
53,9.0,Hombre
54,8.0,Hombre
55,11.0,Hombre
56,7.5,Hombre
57,8.5,Hombre
58,8.0,Hombre
59,6.0,Hombre
60,9.0,Hombre
61,7.5,Hombre
62,4.5,Hombre
63,8.0,Hombre
64,8.0,Hombre
65,8.0,Hombre
66,9.0,Hombre
67,2.0,Hombre
68,7.0,Hombre
69,7.0,Hombre
70,8.0,Hombre
71,6.5,Hombre
72,7.5,Hombre
73,5.0,Hombre
74,7.0,Hombre
75,7.0,Hombre
76,8.0,Hombre
77,8.0,Hombre
78,9.0,Hombre
79,8.0,Hombre
80,9.0,Hombre
81,8.0,Hombre
82,7.5,Hombre
83,6.0,Hombre
84,8.0,Hombre
85,9.0,Hombre
86,7.5,Hombre
87,6.5,Hombre
88,8.0,Hombre
89,8.5,Hombre
90,6.0,Hombre
91,11.0,Hombre
92,8.0,Hombre
93,8.0,Hombre
94,7.0,Hombre
95,7.0,Hombre
96,9.0,Hombre
97,8.0,Hombre
98,7.5,Hombre
99,7.5,Hombre
100,4.5,Hombre
101,6.5,Hombre
102,6.5,Hombre
103,7.5,Hombre
104,13.0,Hombre
105,9.0,Hombre
106,6.5,Hombre
107,7.0,Hombre
108,7.5,Hombre
109,7.0,Hombre
110,9.0,Hombre
111,9.5,Hombre
112,7.0,Hombre
113,7.0,Hombre
114,5.0,Hombre
115,8.0,Hombre
116,2.0,Hombre
117,9.0,Hombre
118,9.0,Hombre
119,7.0,Hombre
120,10.0,Hombre
121,9.0,Hombre
122,6.5,Hombre
123,5.0,Hombre
124,5.0,Hombre
125,6.0,Hombre
126,7.0,Hombre
127,7.0,Hombre
128,9.5,Hombre
129,9.0,Hombre
130,9.0,Hombre
131,8.0,Hombre
132,5.5,Hombre
133,7.0,Hombre
134,5.0,Hombre
135,7.0,Hombre
136,11.0,Hombre
137,6.0,Hombre
138,7.0,Hombre
139,7.0,Hombre
140,8.0,Hombre
141,9.0,Hombre
142,10.0,Hombre
143,7.5,Hombre
144,10.0,Hombre
145,8.5,Hombre
146,6.0,Hombre
147,8.0,Hombre
148,6.5,Hombre
149,6.0,Hombre
150,3.5,Hombre
151,6.5,Hombre
152,7.0,Hombre
153,9.5,Hombre
154,4.0,Hombre
155,10.0,Hombre
156,8.5,Hombre
157,6.5,Hombre
158,6.5,Hombre
159,8.5,Hombre
160,7.0,Hombre
161,5.0,Hombre
162,6.0,Hombre
163,5.0,Hombre
164,8.5,Hombre
165,8.5,Hombre
166,9.5,Hombre
167,8.0,Hombre
168,7.0,Hombre
169,8.0,Hombre
170,3.5,Hombre
171,8.0,Hombre
172,4.0,Hombre
173,8.0,Hombre
174,6.0,Hombre
175,9.0,Hombre
176,9.0,Hombre
177,9.5,Hombre
178,9.0,Hombre
179,6.0,Hombre
180,5.5,Hombre
181,9.0,Hombre
182,2.0,Hombre
183,8.5,Hombre
184,8.0,Hombre
185,7.0,Hombre
186,9.0,Hombre
187,8.0,Hombre
188,7.0,Hombre
